,data_name,stage,model,score,data_f1_mean,data_f1_stde,kb_f1_mean,kb_f1_stde,bal_f1_mean,bal_f1_stde
61,adamson,data_only,MLP,neural,0.47355525018063194,0.022778292286328383,0.2680193784233267,0.014826711613223187,0.3292706135245134,0.017077616411152574
62,adamson,ABL1_refl,MLP,neural,0.4827404871046954,0.008118488206182939,0.33510437707784,0.010353899846282738,0.3902495470828527,0.007440126596999108
63,adamson,ABL1_refine,MLP,neural,0.4827404871046954,0.008118488206182939,0.6310733238437818,0.012885034152858299,0.5399443102614189,0.0048042468298723495
64,adamson,ABL2_refl,MLP,neural,0.4761960985823043,0.008405637845456088,0.631065379218813,0.012618135595157454,0.5367090993455217,0.006247703222839296
65,adamson,ABL2_refine,MLP,neural,0.4761960985823043,0.008405637845456088,0.6429770548349294,0.008066710620829809,0.5398856457594262,0.005670982279859738
66,adamson,init,MLP,integrated,0.2888429714737579,0.003019902071767111,0.35539087640833533,0.029329002523246633,0.31772733377801965,0.011109474623028665
67,adamson,data_only,MLP,integrated,0.47669095856420995,0.010812215882908566,0.37248480845457627,0.0315145558949278,0.41576455260235223,0.024150408772047993
68,adamson,ABL1_refl,MLP,integrated,0.46821376820638727,0.010221244072153746,0.41106055276582454,0.02606293303396573,0.43619435415319174,0.016107703499160658
69,adamson,ABL1_refine,MLP,integrated,0.46719946115654826,0.008606315494696926,0.6466900971499588,0.005579652716055206,0.536264437726593,0.006691041578578971
70,adamson,ABL2_refl,MLP,integrated,0.4673948273839308,0.0078042279430583505,0.6418059232111557,0.008259980201895278,0.5355549041597609,0.0069785345190033765
71,adamson,ABL2_refine,MLP,integrated,0.4677819843530382,0.007792846328816161,0.6529591365846477,0.0034228832937684417,0.5382909351814371,0.006343316803468557
72,ecoli,init,GNN,neural,0.2936605141749308,0.0034421242795775187,0.20852461641345016,0.001513336485111455,0.24044357257864143,0.0021048113441929084
73,ecoli,data_only,GNN,neural,0.377307695102967,0.0026377351087343015,0.3605307864460894,0.0023858220559400956,0.3692951814961273,0.0011439473256570076
74,ecoli,ABL1_refl,GNN,neural,0.3875977980369355,0.005977778947866913,0.3713559926971932,0.026857654505473477,0.381154115586404,0.014720120568765788
75,ecoli,ABL1_refine,GNN,neural,0.3875977980369355,0.005977778947866913,0.4519594930473685,0.006999442048917698,0.4166921414666027,0.005827128526802311
76,ecoli,ABL2_refl,GNN,neural,0.38777240871898266,0.006443771785842739,0.46680369039768754,0.02347244506589402,0.41868475312080283,0.006996054633105098
77,ecoli,ABL2_refine,GNN,neural,0.38777240871898266,0.006443771785842739,0.5348496274629655,0.006931991992504827,0.4427081583464517,0.005546494331298474
78,ecoli,init,GNN,integrated,0.31512105692810377,0.0006107271718597818,0.3048014539550979,0.00782714525373518,0.30968545970908057,0.004320130248998827
79,ecoli,data_only,GNN,integrated,0.3720842534117945,0.003534856309553913,0.49304081829811586,0.005511995636781508,0.4198774285187018,0.0009197834121184578
80,ecoli,ABL1_refl,GNN,integrated,0.3765841976149291,0.01394567694559698,0.46675523881930403,0.03001006468953546,0.4141115653781276,0.002406870197025901
81,ecoli,ABL1_refine,GNN,integrated,0.36300908045472324,0.021355775057582627,0.5455635022366934,0.034127283271825626,0.4253961349455274,0.00914160463922381
82,ecoli,ABL2_refl,GNN,integrated,0.3649832150463147,0.020578995355243268,0.5466597976425402,0.03733828696724595,0.42714286551361225,0.007603482737799566
