,diff_p1k,diff_sra,weighted_p1k,weighted_sra,comb_p1k,comb_sra
458,0.27604871447902574,0.19999999999999998,0.27604871447902574,0.19999999999999998,0.3911710811261036,0.4593088071348941
459,0.3026481715006305,0.31446540880503143,0.3026481715006305,0.31446540880503143,0.34995450409463147,0.31446540880503143
460,0.29322984044846917,0.2777777777777778,0.29322984044846917,0.2777777777777778,0.29322984044846917,0.2777777777777778
461,0.2606657290201594,0.4716981132075472,0.2606657290201594,0.4716981132075472,0.2707894878851654,0.4716981132075472
462,0.2696011004126548,0.31446540880503143,0.2696011004126548,0.31446540880503143,0.3345986140473134,0.14814814814814814
463,0.36998220084576755,0.11764705882352942,0.36998220084576755,0.11764705882352942,0.36998220084576755,0.11764705882352942
464,0.31072749691738594,1.0,0.31072749691738594,1.0,0.31072749691738594,1.0
465,0.25836869401225837,0.4909090909090909,0.25836869401225837,0.4909090909090909,0.3092635759302426,0.17543859649122806
466,0.23517688091679123,0.45098039215686275,0.23517688091679123,0.45098039215686275,0.2699456505419932,0.1372549019607843
467,0.23837784371909002,0.46153846153846156,0.23837784371909002,0.46153846153846156,0.2669640447649413,0.13333333333333333
468,0.2606657290201594,0.48148148148148145,0.2606657290201594,0.48148148148148145,0.2911917310627291,0.16216216216216217
469,0.2674043337943753,0.48148148148148145,0.2674043337943753,0.48148148148148145,0.2788436870075133,0.16216216216216217
470,0.2706904435299497,0.4909090909090909,0.2706904435299497,0.4909090909090909,0.3146081329320854,0.17543859649122806
471,0.2619718309859155,0.2631578947368421,0.2619718309859155,0.2631578947368421,0.28597784387258074,0.2631578947368421
472,1.0,1.0,1.0,1.0,1.0,1.0
473,0.4988425925925926,1.0,0.4988425925925926,1.0,0.4988425925925926,1.0
474,0.2728512960436562,0.48148148148148145,0.2728512960436562,0.48148148148148145,0.2728512960436562,0.48148148148148145
475,0.2951522951522952,0.3076923076923077,0.2951522951522952,0.3076923076923077,0.3658156366817784,0.3076923076923077
476,0.283311199645861,0.4716981132075472,0.283311199645861,0.4716981132075472,0.283311199645861,0.4716981132075472
477,0.27231329690346084,1.0,0.27231329690346084,1.0,0.27231329690346084,1.0
478,0.32301587301587303,1.0,0.32301587301587303,1.0,0.32301587301587303,1.0
479,0.3026481715006305,1.0,0.3026481715006305,1.0,0.3026481715006305,1.0
480,0.3133414932680539,0.48148148148148145,0.3133414932680539,0.48148148148148145,0.3330842673308427,0.48148148148148145
481,0.24525547445255472,0.48148148148148145,0.24525547445255472,0.48148148148148145,0.23901234567901233,0.48148148148148145
482,0.24830917874396133,1.0,0.24830917874396133,1.0,0.24830917874396133,1.0
483,0.3021885521885522,1.0,0.3021885521885522,1.0,0.2996748900363358,0.18803418803418803
484,0.2661103384330088,0.2777777777777778,0.2661103384330088,0.2777777777777778,0.3721406082460849,0.26164874551971323
485,0.21842650103519667,0.2518518518518518,0.21842650103519667,0.2518518518518518,0.27606036585012916,0.2905982905982906
486,0.27231329690346084,0.31446540880503143,0.27231329690346084,0.31446540880503143,0.30446892941573794,0.31446540880503143
487,0.2989384288747346,1.0,0.2989384288747346,1.0,0.30820504239178936,1.0
488,0.3286494925839188,0.44,0.3286494925839188,0.44,0.3154906731549067,0.44
489,0.321784149741139,1.0,0.321784149741139,1.0,0.5231573739212679,1.0
490,1.0,1.0,1.0,1.0,0.31719128329297824,1.0
491,0.49942196531791905,1.0,0.49942196531791905,1.0,0.31676767676767675,1.0
492,1.0,1.0,1.0,1.0,0.31719128329297824,1.0
493,0.32625786163522014,1.0,0.32625786163522014,1.0,0.3480931426475981,1.0
494,0.4988425925925926,1.0,0.4988425925925926,1.0,0.3163430420711974,1.0
495,0.49942196531791905,1.0,0.49942196531791905,1.0,0.31676767676767675,1.0
496,0.3012658227848101,1.0,0.3012658227848101,1.0,0.29457142857142854,1.0
497,0.4988425925925926,1.0,0.4988425925925926,1.0,0.3163430420711974,1.0
498,0.25191570881226055,0.48148148148148145,0.25191570881226055,0.48148148148148145,0.37341915085817523,0.48148148148148145
499,0.27338782924613986,0.4716981132075472,0.27338782924613986,0.4716981132075472,0.4067468947851723,0.4716981132075472
500,0.28932461873638343,0.44,0.28932461873638343,0.44,0.28932461873638343,0.44
501,0.2142110762800418,0.28205128205128205,0.2142110762800418,0.28205128205128205,0.32532553298895645,0.28205128205128205
502,0.2868421052631579,0.4909090909090909,0.2868421052631579,0.4909090909090909,0.2868421052631579,0.4909090909090909
503,0.2483098177542622,0.48148148148148145,0.2483098177542622,0.48148148148148145,0.3141262246525404,0.16216216216216217
504,0.2581654281263566,0.48148148148148145,0.2581654281263566,0.48148148148148145,0.3203049662385515,0.16216216216216217
505,0.276797829036635,0.48148148148148145,0.276797829036635,0.48148148148148145,0.3609520805949007,0.16216216216216217
506,0.252044252044252,0.4909090909090909,0.252044252044252,0.4909090909090909,0.32227942661013526,0.17543859649122806
507,0.24988873363349373,0.4716981132075472,0.24988873363349373,0.4716981132075472,0.3029375032038288,0.14814814814814814
508,0.29610611895592637,1.0,0.29610611895592637,1.0,0.29610611895592637,1.0
509,0.24463937621832357,0.8901960784313725,0.24463937621832357,0.8901960784313725,0.27660249477251425,0.8901960784313725
510,0.27999969683878645,1.0,0.27999969683878645,1.0,0.3013574660633484,0.18803418803418803
511,0.2817777777777778,1.0,0.2817777777777778,1.0,0.2817777777777778,1.0
512,0.29399048854301774,1.0,0.29399048854301774,1.0,0.43989533798015334,1.0
513,0.304517614173552,1.0,0.304517614173552,1.0,0.45451758400097625,1.0
514,0.26555246053853293,1.0,0.26555246053853293,1.0,0.3126829632115754,1.0
515,0.26720141193825403,0.48148148148148145,0.26720141193825403,0.48148148148148145,0.3142421384995642,0.48148148148148145
516,0.2566287878787879,0.48148148148148145,0.2566287878787879,0.48148148148148145,0.3711974676811509,0.16216216216216217
517,0.3051715309779826,1.0,0.3051715309779826,1.0,0.31210518524499714,0.18803418803418803
518,0.24648229015041243,0.3333333333333333,0.24648229015041243,0.3333333333333333,0.24757560815253124,0.3333333333333333
519,0.3026481715006305,0.4716981132075472,0.3026481715006305,0.4716981132075472,0.3026481715006305,0.4716981132075472
520,0.30984754841367945,0.4909090909090909,0.30984754841367945,0.4909090909090909,0.30984754841367945,0.4909090909090909
521,0.260205054840248,0.32,0.260205054840248,0.32,0.31659333537978784,0.32
522,0.31500332409493964,0.46176046176046176,0.31500332409493964,0.46176046176046176,0.3904199122571403,0.46176046176046176
523,0.29457364341085274,0.48148148148148145,0.29457364341085274,0.48148148148148145,0.34108562003298853,0.16216216216216217
524,0.29931972789115646,1.0,0.29931972789115646,1.0,0.3894203357617992,0.18803418803418803
525,0.2950537634408602,1.0,0.2950537634408602,1.0,0.43383698615702576,0.18803418803418803
526,0.29457364341085274,1.0,0.29457364341085274,1.0,0.37341265922780686,0.18803418803418803
527,0.2826666666666667,0.48148148148148145,0.2826666666666667,0.48148148148148145,0.34896903820816866,0.16216216216216217
528,0.29743589743589743,0.48148148148148145,0.29743589743589743,0.48148148148148145,0.3888166232550461,0.16216216216216217
529,0.2739229024943311,0.48148148148148145,0.2739229024943311,0.48148148148148145,0.2739229024943311,0.48148148148148145
530,0.2758180367118915,0.3076923076923077,0.2758180367118915,0.3076923076923077,0.27605633802816903,0.3076923076923077
531,0.21772939346811818,0.3076923076923077,0.21772939346811818,0.3076923076923077,0.39588872947553,0.13333333333333333
532,0.19421713038734315,0.3076923076923077,0.19421713038734315,0.3076923076923077,0.3573012146955809,0.022988505747126436
533,0.27014652014652013,0.2608695652173913,0.27014652014652013,0.2608695652173913,0.3217237535078615,0.2608695652173913
534,0.2776280323450135,0.3076923076923077,0.2776280323450135,0.3076923076923077,0.39023453766776567,0.13333333333333333
535,0.29322984044846917,0.3076923076923077,0.29322984044846917,0.3076923076923077,0.40260311380643327,0.13333333333333333
536,0.2965811965811966,0.3076923076923077,0.2965811965811966,0.3076923076923077,0.4152719483008676,0.13333333333333333
537,0.26629680998613037,0.3076923076923077,0.26629680998613037,0.3076923076923077,0.35268646517939906,0.13333333333333333
538,0.25721040189125294,0.3076923076923077,0.25721040189125294,0.3076923076923077,0.31871519024794365,0.13333333333333333
539,0.27919463087248325,0.48148148148148145,0.27919463087248325,0.48148148148148145,0.3865819432366195,0.16216216216216217
540,0.2440214738897023,0.3076923076923077,0.2440214738897023,0.3076923076923077,0.3021974930045741,0.13333333333333333
