,data_name,stage,model,score,data_f1_mean,data_f1_stde,kb_f1_mean,kb_f1_stde,bal_f1_mean,bal_f1_stde
17,norman,ABL2_refine,MLP,neural,0.528280672399021,0.0015696794907383294,0.6438432903141292,0.0010577086322960394,0.5697758773384475,0.0011153311610297978
18,norman,init,MLP,integrated,0.22709153631700518,0.005000159306640092,0.3424804078028483,0.0054774725045546035,0.25490114553583987,0.0048711859306755645
19,norman,data_only,MLP,integrated,0.5406247297760094,0.00024641714787670965,0.3793266184731873,0.0010042921680764039,0.4222549832933592,0.0009292366198191682
20,norman,ABL1_refl,MLP,integrated,0.5019347708914238,0.005226424541258073,0.4566695735160703,0.012429376820760701,0.47556076629217814,0.006163152904286956
21,norman,ABL1_refine,MLP,integrated,0.5206242780172403,0.0007917903683913319,0.6612618903618044,0.0006098021431945044,0.5672156733235071,0.0007509050928643513
22,norman,ABL2_refl,MLP,integrated,0.5178999391863588,0.002310470539118259,0.6618031796236457,0.00033074758307133356,0.5650367412903522,0.0019806758804264968
23,norman,ABL2_refine,MLP,integrated,0.5180871963345509,0.00227128520378983,0.6626901456996255,0.00020621848387170072,0.5653863040629272,0.0018900454489882423
24,dixit,init,GNN,neural,0.27674624539948267,0.005296097872892175,0.2721884826994729,0.00632884619182339,0.2728520874915067,0.00340872167075984
25,dixit,data_only,GNN,neural,0.5127650793642011,0.0010306364279026314,0.29020316261179324,0.0017338277518819945,0.3295766936307365,0.0018588406791713308
26,dixit,ABL1_refl,GNN,neural,0.47212179227899065,0.0028325944648459056,0.36252459471372833,0.0049857478166799585,0.397520362095992,0.004465677024206027
27,dixit,ABL1_refine,GNN,neural,0.47212179227899065,0.0028325944648459056,0.6368744453266545,0.006895026909936597,0.5208086317895699,0.0015450097096476045
28,dixit,ABL2_refl,GNN,neural,0.470705063726508,0.007578821663104973,0.6316401479613616,0.007710926191249523,0.5185940779990137,0.005602667932749328
29,dixit,ABL2_refine,GNN,neural,0.470705063726508,0.007578821663104973,0.6376702481082382,0.013551213375562865,0.5197597188062988,0.005255897580229041
30,dixit,init,GNN,integrated,0.2814754598368202,0.004613469987589991,0.3518652464830524,0.005458287774788545,0.3045282535608068,0.003411996425807251
31,dixit,data_only,GNN,integrated,0.46278595049528437,0.0015267178499301925,0.4145794668726911,0.0020177259248314316,0.4346638768279102,0.0008935601882723299
32,dixit,ABL1_refl,GNN,integrated,0.41005558681973,0.05773215891746705,0.5655837944574442,0.1426444913474325,0.42833854888978234,0.026047253377510404
33,dixit,ABL1_refine,GNN,integrated,0.45382621283466995,0.010750979230059327,0.6460291977220574,0.006579251097510563,0.5047938007422608,0.009548847950191036
34,dixit,ABL2_refl,GNN,integrated,0.4643200890722651,0.0049722867416036876,0.6398681608341618,0.0069886621366874735,0.5140615732561096,0.003640464500121343
35,dixit,ABL2_refine,GNN,integrated,0.46285950179386814,0.003753478567161156,0.6466178120828789,0.0107353271348688,0.5142607829684352,0.002869784659908614
