,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00223,{'b0002': -1},"['p1k_00219', 'p1k_00220']",thrA,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.52
p1k_00224,{'b0002': -1},"['p1k_00219', 'p1k_00220']",thrA,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.52
p1k_00225,{'b4388': -1},"['p1k_00219', 'p1k_00220']",serB,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.5
p1k_00226,{'b4388': -1},"['p1k_00219', 'p1k_00220']",serB,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.5
p1k_00227,{'b4388': -1},"['p1k_00219', 'p1k_00220']",serB,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.5
p1k_00228,{'b4388': -1},"['p1k_00219', 'p1k_00220']",serB,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.5
p1k_00229,{'b2416': -1},"['p1k_00219', 'p1k_00220']",ptsI,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.41
p1k_00230,{'b2416': -1},"['p1k_00219', 'p1k_00220']",ptsI,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.41
p1k_00231,{'b2416': -1},"['p1k_00219', 'p1k_00220']",ptsI,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.39
p1k_00232,{'b2416': -1},"['p1k_00219', 'p1k_00220']",ptsI,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.39
p1k_00255,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,
