,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00727,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00728,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00729,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00730,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00731,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00732,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00733,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00734,{'b4025': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",pgi,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00735,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00736,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00737,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00738,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00739,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00740,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00741,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00742,"{'b0721': -1, 'b0724': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",sdhC&sdhB,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00743,"{'b2415': -1, 'b2416': -1, 'b2417': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",ptsH&ptsI&crr,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00744,"{'b2415': -1, 'b2416': -1, 'b2417': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",ptsH&ptsI&crr,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00745,"{'b2415': -1, 'b2416': -1, 'b2417': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",ptsH&ptsI&crr,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
