GO_0000987,"{'b4062', 'b0080', 'b2079', 'b1512', 'b2289', 'b4479', 'b0761', 'b2731', 'b2709', 'b4390', 'b2554', 'b3237', 'b3604', 'b3292', 'b1040', 'b4398', 'b0840', 'b0487', 'b3118', 'b0226', 'b0345', 'b3516', 'b1014', 'b3753', 'b3010', 'b3961', 'b1384', 'b0694'}"
GO_0001000,"{'b3995', 'b4293', 'b3169', 'b3842', 'b2741', 'b3461', 'b3649', 'b0059'}"
GO_0001046,"{'b1735', 'b1508', 'b3226', 'b1921', 'b4293', 'b3461', 'b3261', 'b3082', 'b3481'}"
GO_0001070,{'b3319'}
GO_0001072,"{'b0623', 'b3556', 'b3321', 'b1823', 'b2533'}"
GO_0001073,"{'b3842', 'b4260'}"
GO_0001108,"{'b4062', 'b0399', 'b3181'}"
GO_0001216,"{'b0683', 'b3461', 'b0020', 'b3604', 'b3292', 'b3060', 'b1130', 'b1040', 'b4124', 'b0305', 'b1334', 'b0487', 'b3261', 'b2217', 'b3105', 'b3516', 'b1712', 'b0889', 'b3753', 'b3010', 'b3202', 'b0694'}"
GO_0001217,"{'b1658', 'b0683', 'b4479', 'b1507', 'b1563', 'b1564', 'b3604', 'b1221', 'b4046', 'b4043', 'b1237', 'b2697', 'b1040', 'b1508', 'b3226', 'b2217', 'b3261', 'b0345', 'b0064', 'b1620', 'b1356', 'b0889', 'b1014', 'b4401', 'b3481'}"
GO_0001406,"{'b3452', 'b3450'}"
GO_0001407,"{'b3453', 'b3450', 'b3452'}"
GO_0001510,"{'b3289', 'b1835', 'b3179', 'b3606'}"
GO_0001514,"{'b3591', 'b3590'}"
GO_0001522,"{'b1135', 'b3166', 'b2745', 'b2791', 'b1269', 'b1086', 'b2318', 'b2594', 'b4022', 'b2165', 'b0058', 'b2183'}"
GO_0001530,"{'b3200', 'b0641', 'b0929', 'b0178'}"
GO_0001558,"{'b3129', 'b3724', 'b3185'}"
GO_0001561,set()
GO_0001618,"{'b4036', 'b2215'}"
GO_0001659,{'b3491'}
GO_0001671,"{'b0649', 'b2527', 'b1174'}"
GO_0001676,"{'b2836', 'b1805'}"
GO_0001680,{'b3056'}
GO_0001681,{'b4309'}
GO_0001682,{'b3704'}
GO_0001717,{'b3591'}
GO_0001727,{'b2086'}
GO_0001731,set()
GO_0001761,{'b4208'}
GO_0001762,{'b4208'}
GO_0001883,{'b1045'}
GO_0001884,{'b2143'}
GO_0001887,{'b1680'}
GO_0001896,"{'b1445', 'b2005'}"
GO_0001907,"{'b0554', 'b1556'}"
GO_0002020,{'b0438'}
GO_0002047,set()
GO_0002057,{'b1658'}
GO_0002097,"{'b2562', 'b0144', 'b2324'}"
GO_0002098,"{'b1871', 'b2081', 'b3741', 'b1870', 'b1055', 'b0503', 'b3706', 'b2324', 'b0921'}"
GO_0002099,"{'b0406', 'b0405'}"
GO_0002100,{'b2559'}
GO_0002101,{'b2474'}
GO_0002128,{'b2532'}
GO_0002131,{'b3606'}
GO_0002132,{'b3606'}
GO_0002136,{'b0188'}
GO_0002143,"{'b1133', 'b3343', 'b3470', 'b3345', 'b0969', 'b2530', 'b3344'}"
GO_0002144,"{'b3741', 'b3706'}"
GO_0002145,"{'b1134', 'b0446'}"
GO_0002161,"{'b2697', 'b4258', 'b0026', 'b0642', 'b0194', 'b1787', 'b3887', 'b1719', 'b0481'}"
GO_0002181,"{'b3186', 'b3304', 'b3294', 'b4203', 'b3311', 'b3983', 'b3986', 'b3302', 'b0169', 'b3985', 'b3320', 'b2606', 'b4202', 'b3185', 'b1717', 'b1716', 'b3301', 'b0296', 'b3342', 'b3315', 'b3984', 'b3936', 'b2609', 'b3636', 'b3309', 'b0911', 'b3341', 'b3297', 'b3703', 'b3306', 'b3305', 'b3317', 'b3308', 'b3318', 'b3299', 'b3319', 'b3321', 'b3065', 'b3303', 'b3298', 'b4200', 'b3312', 'b2185', 'b3316', 'b3231', 'b3165', 'b3296', 'b0023', 'b3314', 'b3307', 'b3230', 'b3637', 'b3310', 'b1089', 'b3313'}"
GO_0002184,{'b0172'}
GO_0002188,set()
GO_0002189,set()
GO_0002196,"{'b2697', 'b1787'}"
GO_0002197,"{'b2867', 'b2868', 'b2866'}"
GO_0002926,"{'b3741', 'b3706'}"
GO_0002935,{'b2517'}
GO_0002937,"{'b0423', 'b2530'}"
GO_0002938,{'b3651'}
GO_0002939,{'b2607'}
GO_0002943,"{'b2140', 'b4049', 'b3260'}"
GO_0002949,"{'b3064', 'b4168', 'b1807', 'b3282'}"
GO_0002952,{'b1518'}
GO_0002953,"{'b2291', 'b4374', 'b2361'}"
GO_0003333,"{'b2796', 'b1917', 'b3539', 'b3823', 'b3116', 'b2306', 'b0007', 'b0864', 'b0328', 'b4077', 'b1907', 'b2845', 'b0652', 'b3089', 'b3110', 'b0809', 'b4115', 'b4156', 'b3161', 'b3709', 'b3271'}"
