,locus,matrix_idx,symbol
545,b3946,4153,fsaB
546,b3951,4157,pflD
547,b3952,4158,pflC
548,b3958,4164,argC
549,b3959,4165,argB
550,b3967,4174,murI
551,b3990,4197,thiH
552,b3991,4198,thiG
553,b4407,4199,thiS
554,b3992,4200,thiF
555,b3993,4201,thiE
556,b3997,4205,hemE
557,b4006,4214,purH
558,b4014,4222,aceB
559,b4015,4223,aceA
560,b4019,4228,metH
561,b4032,4243,malG
562,b4033,4244,malF
563,b4034,4245,malE
564,b4035,4246,malK
565,b4042,4253,dgkA
566,b4054,4266,tyrB
567,b4055,4268,aphA
568,b4064,4278,ghxP
569,b4069,4283,acs
570,b4070,4285,nrfA
571,b4071,4286,nrfB
572,b4072,4287,nrfC
573,b4073,4288,nrfD
574,b4077,4292,gltP
575,b4079,4294,fdhF
576,b4084,4300,alsK
577,b4085,4301,alsE
578,b4086,4302,alsC
579,b4087,4303,alsA
580,b4088,4304,alsB
581,b4090,4306,rpiB
582,b4111,4326,proP
583,b4115,4331,adiC
584,b4120,4336,melB
585,b4122,4338,fumB
586,b4123,4339,dcuB
587,b4129,4346,lysU
588,b4130,4347,dtpC
589,b4131,4348,cadA
590,b4132,4349,cadB
591,b4136,4354,dsbD
592,b4138,4356,dcuA
593,b4141,4360,yjeH
594,b4177,4399,purA
595,b4193,4415,ulaA
596,b4194,4416,ulaB
597,b4195,4417,ulaC
598,b4196,4418,ulaD
599,b4197,4419,ulaE
600,b4198,4420,ulaF
601,b4213,4435,cpdB
602,b4232,4452,fbp
603,b4237,4457,nrdG
604,b4238,4458,nrdD
605,b4239,4459,treC
606,b4240,4460,treB
607,b4254,4473,argI
608,b4260,4479,pepA
609,b4261,4482,lptF
610,b4265,4486,idnT
611,b4266,4487,idnO
612,b4267,4488,idnD
613,b4268,4489,idnK
614,b4269,4490,ahr
615,b4311,4539,nanC
616,b4323,4551,uxuB
617,b4352,4584,yjiA
618,b4358,4590,lgoD
619,b4374,4607,yjjG
620,b4386,4620,lplA
621,b4390,4624,nadR
622,b4394,4628,yjjX
