,locus,matrix_idx
977,b3945,4152
978,b3946,4153
979,b3951,4157
980,b3952,4158
981,b3957,4163
982,b3958,4164
983,b3959,4165
984,b3960,4166
985,b3966,4173
986,b3967,4174
987,b3990,4197
988,b3991,4198
989,b4407,4199
990,b3992,4200
991,b3993,4201
992,b3997,4205
993,b4005,4213
994,b4006,4214
995,b4013,4221
996,b4014,4222
997,b4015,4223
998,b4019,4228
999,b4025,4234
1000,b4031,4241
1001,b4032,4243
1002,b4033,4244
1003,b4034,4245
1004,b4035,4246
1005,b4036,4247
1006,b4039,4250
1007,b4040,4251
1008,b4041,4252
1009,b4042,4253
1010,b4054,4266
1011,b4055,4268
1012,b4064,4278
1013,b4067,4281
1014,b4069,4283
1015,b4070,4285
1016,b4071,4286
1017,b4072,4287
1018,b4073,4288
1019,b4077,4292
1020,b4079,4294
1021,b4084,4300
1022,b4085,4301
1023,b4086,4302
1024,b4087,4303
1025,b4088,4304
1026,b4090,4306
1027,b4111,4326
1028,b4115,4331
1029,b4117,4333
1030,b4119,4335
1031,b4120,4336
1032,b4122,4338
1033,b4123,4339
1034,b4129,4346
1035,b4130,4347
1036,b4131,4348
1037,b4132,4349
1038,b4136,4354
1039,b4138,4356
1040,b4139,4358
1041,b4141,4360
1042,b4151,4372
1043,b4152,4373
1044,b4153,4374
1045,b4154,4375
1046,b4159,4380
1047,b4160,4381
1048,b4169,4391
1049,b4173,4395
1050,b4177,4399
1051,b4193,4415
1052,b4194,4416
1053,b4195,4417
1054,b4196,4418
1055,b4197,4419
1056,b4198,4420
1057,b4208,4430
1058,b4209,4431
1059,b4213,4435
1060,b4219,4441
1061,b4232,4452
1062,b4233,4453
1063,b4237,4457
1064,b4238,4458
1065,b4239,4459
1066,b4240,4460
1067,b4254,4473
1068,b4260,4479
1069,b4261,4482
1070,b4265,4486
1071,b4266,4487
1072,b4267,4488
1073,b4268,4489
1074,b4269,4490
1075,b4287,4507
1076,b4288,4508
1077,b4289,4509
1078,b4290,4510
1079,b4291,4511
1080,b4311,4539
1081,b4321,4549
1082,b4322,4550
1083,b4323,4551
1084,b4352,4584
1085,b4358,4590
1086,b4367,4599
1087,b4374,4607
1088,b4381,4615
1089,b4382,4616
1090,b4383,4617
1091,b4384,4618
1092,b4386,4620
1093,b4390,4624
1094,b4392,4626
1095,b4394,4628
